"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2022","108.89","109.47","109.76","107.74","1.72M","-0.96%"
"07/13/2022","109.95","109.17","111.67","108.53","1.12M","-0.64%"
"07/12/2022","110.66","112.30","113.02","110.24","1.18M","-1.46%"
"07/11/2022","112.30","112.00","112.96","109.79","1.78M","-1.14%"
"07/08/2022","113.60","114.35","115.03","113.58","1.04M","-1.62%"
"07/07/2022","115.47","113.50","115.79","112.82","945.50K","2.22%"
"07/06/2022","112.96","112.39","113.72","112.33","1.78M","-0.94%"
"07/05/2022","114.03","112.00","115.53","111.19","1.55M","-0.03%"
"07/01/2022","114.06","113.26","114.36","112.33","653.81K","0.07%"
"06/30/2022","113.98","113.95","115.04","113.30","1.40M","-0.88%"
"06/29/2022","114.99","116.20","116.20","114.32","909.86K","-1.08%"
"06/28/2022","116.25","119.05","120.53","115.88","1.25M","-1.20%"
"06/27/2022","117.66","118.19","118.50","116.88","809.70K","-0.25%"
"06/24/2022","117.96","116.41","118.12","114.81","2.21M","2.84%"
"06/23/2022","114.70","116.53","117.14","114.64","1.85M","-2.14%"
"06/22/2022","117.21","116.11","118.73","116.11","1.13M","0.02%"
"06/21/2022","117.19","116.96","119.09","116.94","1.66M","0.83%"
"06/17/2022","116.22","116.19","119.98","114.75","6.14M","0.04%"
"06/16/2022","116.17","118.77","119.15","115.11","2.23M","-3.89%"
"06/15/2022","120.87","122.46","122.91","119.74","1.62M","-0.37%"
"06/14/2022","121.32","122.15","122.49","121.01","1.67M","-0.97%"
"06/13/2022","122.51","122.50","124.48","121.97","1.70M","-2.31%"
"06/10/2022","125.41","125.43","127.10","124.98","1.50M","-1.30%"
"06/09/2022","127.06","128.56","130.40","127.04","2.26M","-1.42%"
"06/08/2022","128.89","130.32","130.34","128.13","1.82M","-1.37%"
"06/07/2022","130.68","129.93","131.19","129.38","1.85M","-0.09%"
"06/06/2022","130.80","131.75","131.93","129.37","2.08M","-0.90%"
"06/03/2022","131.99","130.18","132.15","129.85","3.31M","0.23%"
"06/02/2022","131.69","128.70","131.71","128.57","2.60M","1.76%"
"06/01/2022","129.41","129.32","131.26","128.36","2.60M","1.02%"
"05/31/2022","128.10","127.55","131.48","126.33","5.19M","-0.90%"
"05/27/2022","129.26","124.11","130.67","124.08","5.83M","3.94%"
"05/26/2022","124.36","120.00","125.82","119.59","10.02M","3.17%"
"05/25/2022","120.54","116.20","123.10","116.02","5.38M","3.97%"
"05/24/2022","115.94","119.09","119.85","114.57","6.05M","-2.92%"
"05/23/2022","119.43","113.31","125.87","111.56","16.00M","24.78%"
"05/20/2022","95.71","95.81","96.19","93.13","1.24M","0.80%"
"05/19/2022","94.95","92.86","95.71","91.53","1.53M","1.41%"
"05/18/2022","93.63","100.00","100.72","92.76","1.59M","-7.75%"
"05/17/2022","101.50","102.09","102.53","100.57","1.13M","0.89%"
"05/16/2022","100.60","100.23","101.69","99.60","1.13M","0.42%"
"05/13/2022","100.18","100.30","101.33","99.03","1.16M","0.57%"
"05/12/2022","99.61","97.85","100.10","97.57","1.62M","1.48%"
"05/11/2022","98.16","97.18","99.60","97.18","1.82M","0.60%"
"05/10/2022","97.57","100.00","100.65","96.58","1.42M","-1.63%"
"05/09/2022","99.19","99.41","100.09","98.58","1.64M","-1.43%"
